Wavelength,Alexa647,Alexa700,APC,FITC,PacificBlue,PE,PE_Cy7,Percp_Cy5_5,BV510,PE_Dazzle,BV605,APC_Cy7,BV421,Alexa488,DAPI,eFluor780,SB436,SB702
422,0,2.874162,0,5.694477,61.66976,1.905264779,0,71.3503361,69.78,3.239,28.435,3.233,24.288,3.591824,0.587326121,2.377915542,75.52868659,74.38624279
423,0,2.833219,0,5.694477,57.99582,1.864563395,0,72.0772073,66.575,3.206,23.363,3.161,18.958,3.74733,0.529918304,2.391757878,69.75493653,68.37427308
424,0,2.745996,0,6.195658,54.40584,1.821661937,3.1040665,72.8099264,63.373,3.189,18.832,3.092,13.96,3.881381,0.48134246,2.403622737,63.33853255,62.02206368
425,0,2.673036,0,6.317916,50.67254,1.84146261,3.1023334,73.5323256,60.204,3.187,14.642,3.027,10.302,4.050667,0.35327887,2.366050683,57.27448441,55.51724106
426,0,2.63712,0,6.636849,46.90631,1.790860889,3.1126076,74.2069089,57.097,3.199,10.655,2.964,8.113,4.212079,0.33119894,2.344298441,50.69916501,49.0480309
427,0,2.541688,0,7.175238,43.38544,1.826062086,3.1161525,74.971276,54.073,3.226,7.064,2.904,6.581,4.365617,0.251711195,2.318591246,43.89088632,42.72564603
428,0,2.469959,0,7.592889,39.98098,1.875563769,3.1170471,75.7266992,51.149,3.267,4.866,2.847,5.299,4.623482,0.216383308,2.256300735,38.1254082,36.71288628
429,0,2.423782,0,7.866261,36.33581,1.894264405,3.1446223,76.5739702,48.337,3.32,3.515,2.791,4.135,4.871506,0.154559505,2.169291767,32.66098401,31.14694982
430,0,2.352875,0,8.299098,33.18135,2.008668295,3.1814594,77.3981933,45.647,3.387,2.581,2.738,3.022,5.078191,0.132479576,2.107989994,27.94113338,26.03759987
431,0,2.297565,0,8.428191,29.95779,2.075770576,3.210929,78.3545122,43.081,3.467,1.889,2.686,1.86,5.338025,0.105983661,1.979454019,23.72418511,21.47505156
432,0,2.237022,0,8.754717,27.16095,2.163773568,3.2467136,79.3194312,40.644,3.559,1.356,2.636,0.807,5.611638,0.035327887,1.872670285,19.99708539,17.48640073
433,0,2.190845,0,9.005308,24.38312,2.321078917,3.3208087,80.2695581,38.334,3.663,0.934,2.588,0.481,5.900801,0.004415986,1.782695103,16.48752934,14.04110157
434,0,2.138511,0,9.560404,21.87338,2.434382769,3.3974298,81.1715251,36.15,3.779,0.597,2.54,0.367,6.190162,-0.030470302,1.644271745,14.11343454,11.16824499
435,0,2.07181,0,10.12233,19.46614,2.579587706,3.4862598,82.169812,34.089,3.907,0.324,2.494,0.343,6.50708,-0.013247958,1.513758293,11.93402396,8.785970518
436,0,2.030662,0,10.23624,17.38822,2.715992344,3.6064539,83.062835,32.148,4.047,0.104,2.45,0.337,6.808448,-0.017663943,1.412906989,10.19266652,6.848405261
437,0,1.96509,0,10.77463,15.42625,2.927199525,3.7039142,83.8130981,30.323,4.198,0,2.406,0.331,7.138949,-0.079487746,1.310078209,9.191335399,5.293830923
438,0,1.925994,0,11.22265,13.61781,3.06910435,3.847684,84.4312654,28.609,4.36,0,2.363,0.326,7.471615,-0.013247958,1.232956624,7.945878535,4.084487318
