Wavelength,Alexa Fluor 647,Alexa Fluor 647,Alexa Fluor 700,Alexa Fluor 700,APC ,APC ,FITC,FITC,Pacific Blue,Pacific Blue,"PE (R-PE, R-phycoerythrin)","PE (R-PE, R-phycoerythrin)",PE-Cy7,PE-Cy7,PerCP-Cy5.5,PerCP-Cy5.5
Wavelength,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission
411,0,0,3.685955,0,0,0,4.957893,0,94.31772,1.70243,3.491518712,0,0,0,61.0124597,0
412,0,0,3.590523,0,0,0,5.056611,0,92.31864,1.179118,3.279211493,0,0,0,62.2171463,0
413,0,0,3.510482,0,0,0,4.844748,0,90.19481,1.135669,3.086704948,0,0,0,63.344777,0
414,0,0,3.433418,0,0,0,4.912332,0,87.71753,1.354881,2.906298814,0,0,0,64.4183998,0
415,0,0,3.377082,0,0,0,4.859176,0,85.20825,1.671688,2.740193167,0,0,0,65.5040626,0
416,0,0,3.294887,0,0,0,4.97384,0,82.29128,2.066981,2.576287594,0,0,0,66.3626857,0
417,0,0,3.231368,0,0,0,5.125713,0,79.327,2.537917,2.433282732,0,0,0,67.2529567,0
418,0,0,3.154406,0,0,0,5.231265,0,75.99675,3.127764,2.292477944,0,0,0,68.1284357,0
419,0,0,3.101046,0,0,0,5.307961,0,72.64796,3.813338,2.194574616,0,0,0,68.9302988,0
420,0,0,2.991144,0,0,0,5.565385,0,69.09508,4.62184,2.076870614,0,0,0,69.7717218,0
421,0,0,2.960462,0,0,0,5.482615,0,65.24119,5.536488,2.007568257,0,0,0,70.6640568,0
422,0,0,2.874162,0,0,0,5.694477,0,61.66976,6.646884,1.905264779,0,0,0,71.3503361,0
423,0,0,2.833219,0,0,0,5.694477,0,57.99582,7.933599,1.864563395,0,0,0,72.0772073,0
424,0,0,2.745996,0,0,0,6.195658,0,54.40584,9.441236,1.821661937,0,3.1040665,0,72.8099264,0
425,0,0,2.673036,0,0,0,6.317916,0,50.67254,11.196,1.84146261,0,3.1023334,0,73.5323256,0
426,0,0,2.63712,0,0,0,6.636849,0,46.90631,13.2127,1.790860889,0,3.1126076,0,74.2069089,0
427,0,0,2.541688,0,0,0,7.175238,0,43.38544,15.44021,1.826062086,0,3.1161525,0,74.971276,0
428,0,0,2.469959,0,0,0,7.592889,0,39.98098,17.91557,1.875563769,0,3.1170471,0,75.7266992,0
429,0,0,2.423782,0,0,0,7.866261,0,36.33581,20.71553,1.894264405,0,3.1446223,0,76.5739702,0
430,0,0,2.352875,0,0,0,8.299098,0,33.18135,23.61734,2.008668295,0,3.1814594,0,77.3981933,0
431,0,0,2.297565,0,0,0,8.428191,0,29.95779,26.83252,2.075770576,0,3.210929,0,78.3545122,0
432,0,0,2.237022,0,0,0,8.754717,0,27.16095,30.35657,2.163773568,0,3.2467136,0,79.3194312,0
433,0,0,2.190845,0,0,0,9.005308,0,24.38312,34.00488,2.321078917,0,3.3208087,0,80.2695581,0
434,0,0,2.138511,0,0,0,9.560404,0,21.87338,37.88352,2.434382769,0,3.3974298,0,81.1715251,0
435,0,0,2.07181,0,0,0,10.12233,0,19.46614,41.85286,2.579587706,0,3.4862598,0,82.169812,0
436,0,0,2.030662,0,0,0,10.23624,0,17.38822,45.77618,2.715992344,0,3.6064539,0,83.062835,0
437,0,0,1.96509,0,0,0,10.77463,0,15.42625,49.89843,2.927199525,0,3.7039142,0,83.8130981,0
438,0,0,1.925994,0,0,0,11.22265,0,13.61781,54.30722,3.06910435,0,3.847684,0,84.4312654,0
439,0,0,1.910601,0,0,0,11.96,0,11.80844,58.82051,3.271511231,0,4.0015577,0,84.9964568,0
440,0,0,1.851084,0,0,0,12.30855,0,10.47774,63.11265,3.477218225,0,4.1726922,0,85.4501923,0
441,0,0,1.829535,0,0,0,13.01476,0,9.118275,67.26855,3.675224958,0,4.3674024,0,85.715416,0
442,0,0,1.79875,0,0,0,13.24332,0,8.149351,71.66388,3.906232812,0,4.5774789,0,85.9954317,0
443,0,0,1.749495,0,0,0,13.98674,0,6.985158,75.53461,4.147141003,0,4.7839769,0,86.2076794,0
444,0,0,1.724867,0,0,0,14.28365,0,6.164193,79.04046,4.441951026,0,5.0201551,0,86.3752073,0
445,0,0,1.701368,0,0,0,14.98986,0,5.343228,82.53208,4.726860713,0,5.3070632,0,86.5011111,0
446,0,0,1.680845,0,0,0,15.62697,0,4.739796,85.71332,5.079972719,0,5.579868,0,86.594335,0
447,0,0,1.648008,0,0,0,16.56858,0,3.988868,88.7935,5.408883902,0,5.9074021,0,86.7253989,0
